site,super_category,marginal_R2,conditional_R2
AD,people,0.9053835016566772,0.9935027383097869
AD,small_vehicles,0.8771409961493253,0.994778076068873
AD,large_vehicles,0.8660978981885592,0.9669391073743279
AD,market,0.8680064548392502,0.9927886744749798
AD,two_wheelers,0.9489098155650572,0.9636882378038872
AD,refuse,0.4043218128175955,0.8774991697186835
AD,animal,0.42521716946070315,0.5221441434542946
ASH,people,0.8965914580585,0.9406021019195098
ASH,small_vehicles,0.5427424992181955,0.8951565069194253
ASH,large_vehicles,0.3861537204711638,0.9397790496528355
ASH,market,0.6262656452824974,0.7877311068164552
ASH,two_wheelers,0.6765427923412696,0.7007727332657856
ASH,refuse,0.7624309894568657,0.9859933513940782
ASH,animal,0.49339855425216467,0.5556120888997313
EL,people,0.828517480714662,0.9057336511619382
EL,small_vehicles,0.8245177666686292,0.9817655730413923
EL,large_vehicles,0.8345410254618345,0.8962321381100891
EL,market,0.841126458310548,0.9588386955330253
EL,two_wheelers,0.9073300824533935,0.9365228444037262
EL,refuse,0.4618793554731701,0.9664633137561602
EL,animal,0.4730580408964876,0.5443030801573926
JT,people,0.6952270050142407,0.9965685675577202
JT,small_vehicles,0.7412886677629164,0.9586711819931724
JT,large_vehicles,0.6375271621317478,0.7357776885605485
JT,market,0.9583167394379518,0.9962750528736308
JT,two_wheelers,0.8541163106979875,0.9288743048145877
JT,refuse,0.7179327089611021,0.9893963917207664
JT,animal,0.5344224244081958,0.5585770523701951
LA,people,0.8253791969218539,0.9843824138841153
LA,small_vehicles,0.8679450853202252,0.9820144906955381
LA,large_vehicles,0.5548438189193053,0.7454458742866905
LA,market,0.7256172979834224,0.7593692075063339
LA,two_wheelers,0.7377349640679634,0.7981997243039077
LA,refuse,0.5616081769723714,0.9361109553994904
LA,animal,0.7342734567956548,0.7844296356347465
N1W,people,0.8536365451275216,0.9982232449444493
N1W,small_vehicles,0.9177886943936917,0.9911910779777334
N1W,large_vehicles,0.8551075760793762,0.9927246341525082
N1W,market,0.8673020775729546,0.9965334060359184
N1W,two_wheelers,0.7808401016544773,0.8779929935098394
N1W,refuse,0.5666311792042812,0.9785172054017662
N1W,animal,0.3243817582765797,0.3974434888905623
NM,people,0.45603828971585336,0.9955467152633087
NM,small_vehicles,0.5897744378101628,0.7651174265704488
NM,large_vehicles,0.009415986543408654,0.996871089203504
NM,market,0.9642699547442529,0.996801625684424
NM,two_wheelers,0.2580631959111371,0.3396648796978489
NM,refuse,0.3920870841662334,0.7552803716188317
NM,animal,0.35184044475581694,0.479176049287637
TF,people,0.909563065715088,0.9651016775016639
TF,small_vehicles,0.8571020272703884,0.9329438756622672
TF,large_vehicles,0.7004428283830747,0.7241280251214101
TF,market,0.538763284832228,0.810519012369801
TF,two_wheelers,0.7338711998878347,0.7888702124981364
TF,refuse,0.5701884838674447,0.8417387699087653
TF,animal,0.20120378850705234,0.27870191399335403
TMW,people,0.9226022719635762,0.9763794490099102
TMW,small_vehicles,0.9226415073582024,0.9794657907988533
TMW,large_vehicles,0.8822262838718361,0.9250916925894016
TMW,market,0.5059856277007047,0.557998309954737
TMW,two_wheelers,0.8785335860631259,0.8996014810573678
TMW,refuse,0.5441889186703058,0.9415092075295179
TMW,animal,0.5935362480563564,0.6489265582986619
UGH,people,0.7856915331238384,0.9209370514124132
UGH,small_vehicles,0.9030695803202757,0.9884656008994586
UGH,large_vehicles,0.7342565770880015,0.818119544308496
UGH,market,0.7560539512098065,0.813052346977084
UGH,two_wheelers,0.7500455450471013,0.9429347407570736
UGH,refuse,0.6330288418872606,0.9346230747888463
UGH,animal,0.34342961036298386,0.4130979578729455
