site,super_category,fold,marginal_R2,conditional_R2
EL,refuse,4,0.45704667731479953,0.964945440366286
EL,refuse,5,0.4587832065500099,0.9646072025909277
EL,animal,1,0.2816724881362942,0.3775624970796889
EL,animal,2,0.2620385215000553,0.3583923451905247
EL,animal,3,0.2779446729088559,0.37543391707722634
EL,animal,4,0.3179756622500533,0.4101687677787697
EL,animal,5,0.25494841810353047,0.37110652481322226
JT,people,1,0.8009200779500392,0.995935442536888
JT,people,2,0.8515845212416587,0.995581671391492
JT,people,3,0.8724489236338996,0.9954559825378637
JT,people,4,0.8335045509506157,0.995716705805418
JT,people,5,0.8562583213896229,0.9955471319136989
JT,small_vehicles,1,0.7490768068557111,0.9579807508616776
JT,small_vehicles,2,0.7510388113594489,0.9580140751592736
JT,small_vehicles,3,0.7512734955806334,0.9574844437667014
JT,small_vehicles,4,0.7441786564575084,0.9585461022042397
JT,small_vehicles,5,0.7405479394393029,0.9581459980232636
JT,large_vehicles,1,0.630818566187782,0.7314406073026927
JT,large_vehicles,2,0.6319351606893548,0.7308896811854811
JT,large_vehicles,3,0.6336487110177006,0.7307131578320597
JT,large_vehicles,4,0.6435256738341611,0.7285634522021054
JT,large_vehicles,5,0.652003920761567,0.7436205422807384
JT,market,1,0.9576984392701197,0.9962093076692116
JT,market,2,0.9584762135527853,0.9961803988419115
JT,market,3,0.9584375351726143,0.9961269126950903
JT,market,4,0.9577781441945542,0.9962281198739065
JT,market,5,0.9585736186101728,0.9962081313424531
JT,two_wheelers,1,0.8513749753563491,0.9280779093151127
JT,two_wheelers,2,0.8538322539106534,0.9286604524566352
JT,two_wheelers,3,0.8582337609057398,0.9278114592625248
JT,two_wheelers,4,0.8594876262573397,0.9280103475652883
JT,two_wheelers,5,0.8542130234720645,0.9279410766535536
JT,refuse,1,0.7243718334612859,0.988990460522907
JT,refuse,2,0.7259926738530242,0.9894465467360721
JT,refuse,3,0.7301288189272922,0.9895166912654544
JT,refuse,4,0.7190008303297029,0.9890637529147713
JT,refuse,5,0.7217326556064502,0.9895764272951312
JT,animal,1,0.3719659074029015,0.4053430557364008
JT,animal,2,0.3572872826225349,0.3923657574465188
JT,animal,3,0.3786773940869445,0.40491002379270197
JT,animal,4,0.36075989834064703,0.392720964764787
JT,animal,5,0.37433399382634625,0.40528799324672604
LA,people,1,0.8093746196158909,0.9805489394964375
LA,people,2,0.8020314292328017,0.9805999438552029
LA,people,3,0.8050159396811394,0.9808462375669648
LA,people,4,0.8018567393598193,0.9807678143704359
LA,people,5,0.7943712450790305,0.9804972025335248
LA,small_vehicles,1,0.8549353640973474,0.9792416064439038
LA,small_vehicles,2,0.8563327177314753,0.9788955626750309
LA,small_vehicles,3,0.8500493115069848,0.9788961161886748
LA,small_vehicles,4,0.8516855239277602,0.9791414714179851
LA,small_vehicles,5,0.8515003194991266,0.9785293718162091
LA,large_vehicles,1,0.4942994152666533,0.7079510715524371
LA,large_vehicles,2,0.4841659996947031,0.7062187390600984
LA,large_vehicles,3,0.4974267129989498,0.7038131098278381
LA,large_vehicles,4,0.49797546247756697,0.7067377320715024
LA,large_vehicles,5,0.49330214799292316,0.7027917097866145
LA,market,1,0.6376180355120272,0.6816896320002627
LA,market,2,0.5650661635553718,0.616977157367467
LA,market,3,0.5555491029621665,0.6196504190037971
LA,market,4,0.6824942976185268,0.7176543933011167
LA,market,5,0.6120754329575493,0.6549959693499727
LA,two_wheelers,1,0.6508449998384209,0.7346782970953766
LA,two_wheelers,2,0.6773859167140543,0.7482595208507367
LA,two_wheelers,3,0.6535732630036153,0.7440705933281326
LA,two_wheelers,4,0.6681065744524042,0.7444121666798731
LA,two_wheelers,5,0.6454067934074889,0.7299938896606976
LA,refuse,1,0.5927022601444655,0.9367488748758382
LA,refuse,2,0.5904515793591448,0.9383557149386915
LA,refuse,3,0.6058790140473369,0.9358705857824726
LA,refuse,4,0.5762781283861206,0.933245358381197
LA,refuse,5,0.5595838762940621,0.9346798175357242
LA,animal,1,0.7178903394886104,0.7676178911447883
LA,animal,2,0.7126026862244058,0.7632455519365594
LA,animal,3,0.7278549291697214,0.7778143962097916
LA,animal,4,0.7046976342285411,0.7625597148848589
LA,animal,5,0.7205650440699041,0.7727940053988727
N1W,people,1,0.8940143540304613,0.9980443392788128
N1W,people,2,0.9112031663457966,0.9979692800349973
N1W,people,3,0.9467731012776534,0.9979058941784787
N1W,people,4,0.923893468378737,0.9979513895965358
N1W,people,5,0.8890825795274677,0.9980611498888413
N1W,small_vehicles,1,0.8969587763916207,0.9913552048738535
N1W,small_vehicles,2,0.884673018868104,0.9914994250821665
N1W,small_vehicles,3,0.8848879578596068,0.9915516402170106
N1W,small_vehicles,4,0.9172318120638506,0.9910998528693037
N1W,small_vehicles,5,0.9004402311664478,0.9913371818696813
N1W,large_vehicles,1,0.8751824170097796,0.9925600801388658
N1W,large_vehicles,2,0.8800067953759921,0.9925731681253789
N1W,large_vehicles,3,0.883801710045069,0.9925594179397383
N1W,large_vehicles,4,0.8801813431210792,0.9925752441887479
N1W,large_vehicles,5,0.8843586782651128,0.9925348755859434
N1W,market,1,0.8808055326639322,0.9964945462782898
N1W,market,2,0.872429410315669,0.9965131692295864
N1W,market,3,0.8762528076683618,0.9964978331673
N1W,market,4,0.8767879732903432,0.9964693385828844
N1W,market,5,0.8751959853777829,0.9964673567715779
N1W,two_wheelers,1,0.7843738752754608,0.8759155144313655
N1W,two_wheelers,2,0.7795297107529667,0.8780670004253274
N1W,two_wheelers,3,0.7866375056046445,0.8780972327386996
N1W,two_wheelers,4,0.7864162764889748,0.8770605305563033
N1W,two_wheelers,5,0.7809271316587749,0.876591863792718
N1W,refuse,1,0.5786986191561185,0.9777975759611192
N1W,refuse,2,0.5772766927268079,0.9780159608241824
N1W,refuse,3,0.573816087792585,0.9781440694982841
N1W,refuse,4,0.5747714068634051,0.9779127103797047
N1W,refuse,5,0.5855249234611322,0.9772056962534673
N1W,animal,1,0.2670182725917324,0.34700150462550133
N1W,animal,2,0.25778508476268386,0.3379638549146278
N1W,animal,3,0.2564175010114726,0.33037749905374314
N1W,animal,4,0.26663240882175115,0.3459145654216609
N1W,animal,5,0.26694077216353423,0.34065919093944785
NM,people,1,0.8634729097378488,0.9913472560906395
NM,people,2,0.8773560144415276,0.9912682652042469
NM,people,3,0.8762187724961559,0.9911518640804151
NM,people,4,0.874009703828315,0.9913353247713628
NM,people,5,0.8644265371212106,0.9914271841170418
NM,small_vehicles,1,0.5762668794832375,0.7557548134672584
NM,small_vehicles,2,0.5791023367761639,0.7530085031994499
NM,small_vehicles,3,0.5994601981958664,0.7384774569242947
NM,small_vehicles,4,0.578900921690084,0.7558556820907351
NM,small_vehicles,5,0.5709341319408077,0.7580836671187201
NM,large_vehicles,1,0.07777026575361917,0.9789218058245008
NM,large_vehicles,2,0.11014442988249866,0.9704632673942991
NM,large_vehicles,3,0.02098958023300596,0.9932080538020459
NM,large_vehicles,4,0.09050087593814383,0.9755609085812355
NM,large_vehicles,5,0.012148744378647916,0.9959409333426421
NM,market,1,0.9663807206541286,0.9967883875580819
NM,market,2,0.9656872641960437,0.9967737388230186
NM,market,3,0.9743939035380977,0.9967270169536303
NM,market,4,0.965206227352454,0.9968105107405653
NM,market,5,0.9664138180389271,0.9967986902469972
NM,two_wheelers,1,0.16910541182932892,0.2531014343460272
NM,two_wheelers,2,0.17291072924626888,0.261004295962278
NM,two_wheelers,3,0.1695563538524482,0.2558857655603455
NM,two_wheelers,4,0.1697524433011455,0.26455601590293176
NM,two_wheelers,5,0.16631196065861295,0.2576807205929549
NM,refuse,1,0.40810842596045593,0.7597776721928264
NM,refuse,2,0.40018216122153827,0.7526260833450299
NM,refuse,3,0.4136241733661628,0.7432048768298657
NM,refuse,4,0.4007933086802995,0.7473420475027895
NM,refuse,5,0.40939058138011947,0.75451821690836
NM,animal,1,0.2483417829331305,0.39716756051110136
NM,animal,2,0.2698070395496806,0.4179314511376179
NM,animal,3,0.24837705262096937,0.39499060495227833
NM,animal,4,0.2524497361913904,0.39443269432791445
NM,animal,5,0.26491834970835904,0.42148035852691923
TF,people,1,0.9180283771115622,0.965019667004971
TF,people,2,0.9168802231785959,0.9647188660429054
TF,people,3,0.9190544479481902,0.9652038192582955
