site,super_category,marginal_R2,conditional_R2
AD,people,0.9445963056335457,0.9937960485231022
AD,small_vehicles,0.9073898638948921,0.9948970144368277
AD,large_vehicles,0.8906405079333817,0.9688459603006244
AD,market,0.9016110207945763,0.9921792548173617
AD,two_wheelers,0.9496654256551443,0.9648123140115266
AD,refuse,0.4307111661003976,0.8756387109918563
AD,animal,0.40712795696728693,0.5118394751325833
ASH,people,0.888860850901941,0.9422547445854049
ASH,small_vehicles,0.5305138628007842,0.902919975493411
ASH,large_vehicles,0.40234183785303484,0.9389392278726012
ASH,market,0.4753089162065233,0.7067773301496659
ASH,two_wheelers,0.6586067690045102,0.6877704319172798
ASH,refuse,0.7769761148795951,0.9856441274882328
ASH,animal,0.442495820957908,0.5174869741047334
EL,people,0.8374229122839296,0.9066588037549247
EL,small_vehicles,0.8732903770058481,0.9809909712296463
EL,large_vehicles,0.8290410074519827,0.8921933549599596
EL,market,0.851059231747166,0.9580198348908879
EL,two_wheelers,0.9112220524049173,0.9379500328517499
EL,refuse,0.5066597356459962,0.9615106355685171
EL,animal,0.2565220673601037,0.3712318738225632
JT,people,0.869138968019495,0.9955444667055486
JT,small_vehicles,0.7617542831828675,0.9567826386224489
JT,large_vehicles,0.6359084284889736,0.7343825263280592
JT,market,0.9608647576773406,0.9962670926915295
JT,two_wheelers,0.8568693668807659,0.9292958507974401
JT,refuse,0.7147905317178609,0.9914161291987144
JT,animal,0.3605045760229145,0.39483255711059423
LA,people,0.8082015114358512,0.9796311110340978
LA,small_vehicles,0.856021283461554,0.9780834658011821
LA,large_vehicles,0.4835676509380381,0.7014733432121256
LA,market,0.5809437903343412,0.6347926208052715
LA,two_wheelers,0.6581607920516902,0.7393415500297379
LA,refuse,0.5796170703901689,0.9295040452348026
LA,animal,0.709299485600141,0.7657970045339175
N1W,people,0.9179647217914729,0.9979403885350469
N1W,small_vehicles,0.9211993353383436,0.99124700221799
N1W,large_vehicles,0.8919682682229908,0.9925759269466103
N1W,market,0.8903251785780313,0.9964865958412512
N1W,two_wheelers,0.7868560855827693,0.875215845187035
N1W,refuse,0.5578435643148221,0.977510103076385
N1W,animal,0.25793542851389895,0.3416897397839228
NM,people,0.875734716222442,0.9915900308110885
NM,small_vehicles,0.5552937677372178,0.7735597385384525
NM,large_vehicles,0.19003656435571048,0.9492448078949025
NM,market,0.960623319722441,0.9968730884657727
NM,two_wheelers,0.17097160664754318,0.2717858451346935
NM,refuse,0.3994391865810653,0.7537030477977482
NM,animal,0.27109952441978075,0.41080354412640635
TF,people,0.8907729581140778,0.9665993693251157
TF,small_vehicles,0.8050648737922267,0.9379136271680479
TF,large_vehicles,0.6927858212386679,0.7264333867975308
TF,market,0.5528435328284936,0.8292221581795695
TF,two_wheelers,0.709148422396345,0.7931352410836547
TF,refuse,0.5564912332952198,0.8401488647308667
TF,animal,0.1709997345847265,0.25138306816518896
TMW,people,0.9216590953396974,0.9775886961842708
TMW,small_vehicles,0.9182313533146421,0.9808949172147233
TMW,large_vehicles,0.876364265802739,0.92627282367881425
TMW,market,0.38092405600339857,0.4497716087175994
TMW,two_wheelers,0.8772534226309683,0.901023758712236
TMW,refuse,0.5990310398092147,0.9462480261161552
TMW,animal,0.41013193162176187,0.48888446839714933
UGH,people,0.8052327732789571,0.9275192426460925
UGH,small_vehicles,0.9144771995508549,0.9884247436018191
UGH,large_vehicles,0.706883038545718,0.7952281141661539
UGH,market,0.5008019153899944,0.6637388054876854
UGH,two_wheelers,0.771391603624888,0.948464252181825
UGH,refuse,0.64752867832493,0.9310636132705081
UGH,animal,0.3208508252782481,0.3986470269937424
