term,estimate,conf.low,conf.high
(Intercept),1.0214447125788053,0.8613136810043538,1.2113464860311722
year2020,0.802795570409488,0.7229183076689338,0.8914986949870416
year2021,1.2908396893410425,1.1598831643108802,1.4365818513867785
year2022,1.6903976140569625,1.5188783428224557,1.8812856915845058
year2023,1.6316687771859246,1.4534233387121054,1.8317739419284007
year2024,0.8548832755724072,0.6505321407915741,1.1234270668996191
hour1,0.63827965239956,0.5975869949018291,0.6817432744402855
hour2,0.4727625257794701,0.439901977608423,0.5080777472210769
hour3,0.3695263299382097,0.34176778053723456,0.3995394425506003
hour4,0.36759976482526635,0.33993439306959256,0.3975166674939153
hour5,0.7234282023054154,0.6788414635604201,0.7709434263870131
hour6,5.874034747022265,5.6073409860968315,6.153412873370259
hour7,9.40310591937493,8.986037627555502,9.839531570605782
hour8,8.514125501269358,8.134666384092634,8.911285310129038
hour9,7.997097521407277,7.6393791422888375,8.371566272038338
hour10,7.901646242596248,7.547155990505355,8.272786917573
hour11,8.113927989543491,7.750743320820982,8.494130781320177
hour12,8.263983911813936,7.894905124482871,8.65031675718749
hour13,8.155811247332235,7.791423457149127,8.53724065543853
hour14,8.450880391893012,8.074198791675425,8.845135132381653
hour15,9.2614146842761,8.85031214407329,9.691613194859386
hour16,9.634726800817264,9.20759610948637,10.08167163530859
hour17,11.346946997648745,10.847009393623779,11.86992667703737
hour18,10.036014771649715,9.591902370147634,10.500689916344614
hour19,4.372690746766648,4.169869480106138,4.585377182206667
hour20,3.264682530470667,3.109273173873403,3.427859640741336
hour21,2.529418151204363,2.4055455204063474,2.6596695549379366
hour22,1.7873199715575407,1.6955208744986903,1.8840892664756843
hour23,1.3075361675859596,1.2366977555512666,1.3824322247462069
day2,1.0311067440954242,1.0135449462315551,1.0489728370429583
day3,1.0212076940954418,1.003646679999697,1.0390759768966147
day4,1.0095107405468435,0.9920777073748657,1.02725011126004
day5,1.022351684614931,1.0046953962435012,1.040318260582204
day6,0.9009829824341065,0.8850419268123889,0.9172111625938105
day7,0.7754961702759083,0.7614346064583357,0.7898174117799409
week2,0.9845887138363264,0.8590238744397923,1.1285075587055948
week3,0.9876203981028576,0.8343518912930892,1.169043974044535
week4,0.9113568030497612,0.7564435396622848,1.0979949975326524
week5,0.8904247124766833,0.7312302428320627,1.0842770472928522
week6,0.9610411895079709,0.7855626117395307,1.1757180829745675
week7,0.9528003642891734,0.7853816484755753,1.1559074953580533
week8,0.9134748020981066,0.7528439441466134,1.1083787291588705
week9,1.0042787477295885,0.8264552019984157,1.2203635486866276
week10,0.9258443754934012,0.7586697089522039,1.129856375598052
week11,0.8356954108790998,0.6786466038557176,1.0290876220355574
week12,0.8275346236429417,0.6719126801249373,1.0192002228630794
week13,0.8307594758432154,0.6753888051382535,1.0218725887261584
week14,0.7513981572683104,0.6135938466061515,0.9201513246409929
week15,0.8418339846489027,0.6858429868542968,1.033304227488448
week16,0.862785430153176,0.7085816809376019,1.0505474788730151
week17,1.1176007952510285,0.9239386565856866,1.3518554815764388
week18,1.0836891967875086,0.8920960394303653,1.3164303206455665
week19,1.0723528574281418,0.879429047661997,1.307599122284477
week20,1.007388536521621,0.8242009710695658,1.23129151643467
week21,1.0416308639303522,0.8548722696472788,1.2691894394234615
week22,1.0705211210202303,0.8817321560613516,1.2997319681178443
week23,1.1713059070606997,0.9670847129611098,1.4186528951683057
week24,1.3283993215186245,1.0938328641708992,1.6132672688973404
week25,1.2243090131954388,1.0046858188161447,1.4919415918081058
week26,1.057256266253561,0.8689142572846622,1.2864224555659751
week27,1.042869614421132,0.8561742619763203,1.270275317751797
week28,1.0342614091257067,0.8484017251467952,1.2608374437494312
week29,1.0423336127088745,0.8549632756865734,1.2707672844898035
week30,1.0448660468537325,0.8548889178034327,1.2770607188041418
week31,1.0032776264176233,0.8213285827398253,1.2255338689327373
week32,1.0667429880529964,0.8745418012494929,1.301184918701901
week33,1.00223276890788,0.8202420663440481,1.2246025463554242
week34,1.034217648351766,0.8454341405891251,1.2651560811311948
week35,1.0212355428160909,0.8318254084395996,1.2537751592215332
week36,1.0441151418797279,0.8542092609337771,1.2762404709951285
week37,1.094695568379959,0.897765948941982,1.3348227217160418
week38,1.1330732056474024,0.9319272965956862,1.3776341717277514
week39,1.0102484663837046,0.8327052973065453,1.2256460564522036
week40,1.0429890122660694,0.8596974928587177,1.2653591393996584
week41,0.9676441015104738,0.7980781440221694,1.1732373755645689
week42,1.0782818034161457,0.8886874555679837,1.308324586212673
week43,0.9850919785716226,0.813454473829603,1.1929447036877792
week44,1.1588636149086364,0.957806507601989,1.402125447363502
week45,1.013076307881115,0.8363855446252368,1.2270939068535687
week46,1.0392076718621703,0.85609430633032,1.2614878726228762
week47,1.0200550580691528,0.8391312596726204,1.239987557963708
week48,1.008769605358089,0.8231874296330608,1.2361900583782253
week49,1.1159491514128794,0.9076120749733666,1.3721087928184184
week50,1.0891565765508089,0.9014216392176128,1.315990205508592
week51,1.2035050983790294,1.0092652069409602,1.4351277660848232
week52,1.0373937879099526,0.8878789955897612,1.2120861925327093
week53,0.9624696404951333,0.722382506734224,1.2823508324733688
(Intercept),0.0026034915971340066,0.001964534682523699,0.0034502666492199296
